,ci,gender,name,edad,telefono,grado,estado
0,1739722493,female,Robin Sutton,15,593990565252,NA,True
1,1767504530,na,Bryan Hubbard,15,593990777053,40%,True
2,1737805104,male,John Taylor,13,593990655368,NA,True
3,1745339851,female,Maria Sanford,17,593990870368,100%,True
4,1771394496,female,Casey Cummings,22,593990497523,40%,True
5,1758593535,male,Robert Newman,21,593990175469,50%,True
6,1784147919,male,John Park,20,593990093187,70%,False
7,1748731376,na,Joshua Pitts,19,593990503581,NA,True
8,1757665529,female,Michelle Conley,20,593990418716,NA,True
9,1704445503,female,Lisa Johnston,19,593990381846,NA,False
10,1754748423,male,Kyle Moore,15,593990602992,50%,False
11,1768623145,female,Courtney Ferguson,18,593990883406,50%,True
12,1741414379,male,Darrell Moore,22,593990266583,50%,True
13,1763868049,male,Zachary Briggs,18,593990460711,100%,True
14,1727948472,male,Elijah Guerrero MD,17,593990402602,NA,False
15,1701203107,na,Alexis Roth,13,593990643192,70%,False
16,1729616073,female,Amy Wagner,21,593990039925,100%,False
17,1735779877,female,Jessica Jones,21,593990118369,100%,True
18,1791610464,male,Shane Diaz,21,593990750906,60%,False
19,1736612583,female,Dr. Michelle Christian,14,593990473934,NA,True
20,1721070060,female,Judy Shields,17,593990636849,70%,False
21,1755941508,male,Cody Walker,16,593990480249,NA,False
22,1725861737,male,Christopher Zuniga,18,593990022493,100%,True
23,1784336200,male,Mario Higgins DVM,18,593990932866,60%,False
24,1749054142,female,Catherine King,16,593990632128,70%,False
25,1700831241,male,Michael Williams,19,593990428770,70%,True
26,1792091579,male,Derrick Garza,15,593990520887,50%,False
27,1767355980,male,Jacob Vaughan,13,593990870153,50%,False
28,1764037240,female,Denise Trevino,16,593990490504,NA,True
29,1736977241,female,Kaitlyn Baird,16,593990057686,NA,False
30,1759490976,na,Mark James,19,593990791013,70%,False
31,1730076839,na,Tiffany Richardson,16,593990728505,NA,True
32,1778186968,male,William Edwards,19,593990755981,50%,False
33,1740766489,male,Vincent Flowers,14,593990752176,70%,True
34,1779286358,female,Amanda Richmond,20,593990211417,NA,True
35,1744102888,female,Allison Sanders MD,14,593990699289,NA,True
36,1733779045,female,Paige Ryan,19,593990086694,60%,False
37,1768532882,male,Timothy Glover,16,593990444055,NA,False
38,1736752321,female,Nancy Stevens,15,593990753408,NA,False
39,1771515311,male,Marvin Rose,19,593990637855,NA,True
40,1713101294,na,Andrew Thompson,21,593990119301,40%,False
41,1743621511,male,Scott Riley,15,593990439373,70%,True
42,1712555191,male,Alex Martin,21,593990167196,70%,True
43,1714445788,male,Nicholas Garcia,14,593990765260,60%,True
44,1704536389,male,Bradley Harris,22,593990351928,60%,False
45,1701522264,na,Casey Brooks,22,593990534682,100%,True
46,1794318861,male,John Olsen,18,593990351202,NA,True
47,1769110793,female,Debra Kim,18,593990209246,NA,False
48,1734002235,male,Thomas Allen,21,593990892058,NA,False
49,1771455062,male,George Smith,21,593990518777,40%,True
50,1726139510,female,Tiffany Rodriguez,20,593990066592,NA,False
51,1793168740,female,Jessica Collins,21,593990567835,40%,False
52,1755249594,female,Amanda Norris,20,593990353910,NA,True
53,1719161932,male,Jorge Petty,15,593990990467,50%,True
54,1752993862,male,Troy Vazquez,21,593990666693,NA,True
55,1750795174,female,Alexandria Walsh,15,593990213758,NA,True
56,1743065117,male,Tony Parker,16,593990672239,NA,True
57,1771942747,female,Jennifer Garner,15,593990205723,NA,True
58,1757936942,male,David Green,18,593990993007,40%,False
59,1720451751,male,Kenneth Obrien,17,593990592649,60%,False
60,1754115438,male,Carl Donovan,14,593990653120,40%,False
61,1721495367,female,Michelle Stephens,20,593990572095,70%,True
62,1798419076,female,Heidi Reyes,19,593990883398,NA,False
63,1741677850,male,Aaron Jordan,21,593990304453,60%,True
64,1735460770,female,Linda Bowman,13,593990321815,NA,False
65,1763834914,female,Megan Vaughan,16,593990461822,NA,False
66,1727633457,female,Katrina Kennedy,22,593990367114,70%,True
67,1719668260,male,Thomas Henderson,13,593990440482,NA,False
68,1791922096,female,Melinda Palmer,14,593990069031,40%,False
